Elapsed time,SC1,Step1.5_logout,SC1,Step1.6_homepage2,SC2,Step2.2_Login_page,SC2,Step2.3_Enter_login_credentials,SC2,Step2.4_Login_provided,SC2,Step2.5.1_go-to-category01,SC2,Step2.5.1_go-to-category02,SC2,Step2.5.1_go-to-category03,SC2,Step2.5.1_go-to-category04,SC2,Step2.5.1_go-to-category05,SC2,Step2.5.1_go-to-category06,SC2,Step2.5.1_go-to-category07,SC2,Step2.5.1_go-to-category08,SC2,Step2.5.1_go-to-category09,SC2,Step2.5.1_go-to-category10,SC2,Step2.5.2_add_to_cart_product,SC2,Step2.5.3_back-to-cart,SC2,Step2.5_Homepage,TS4,Step4.1.1_GoToCart,TS4,Step4.1.2_GoToCart,TS4,Step4.2.1_GoToCheckout,TS4,Step4.2.2_GoToCheckout,TS4,Step4.2.3_GoToCheckout,TS4,Step4.3.1_EnterUserCredentials,TS4,Step4.3.2_EnterUserCredentials,TS4,Step4.3.3_EnterUserCredentials,TS4,Step4.3.4_EnterUserCredentials,TS4,Step4.3.5_EnterUserCredentials,TS4,Step4.3_EnterUserCredentials,TS4,Step4.4.1_CheckingUserCredentials_Shipping,TS4,Step4.4.2_Continue2 Button,TS4,Step4.4.3_Continue2 Button,TS4,Step4.4.4_Continue2 Button,TS4,Step4.4.5_Continue2 Button,TS4,Step4.4_Continue2,TS4,Step4.5.1_Continue3 Button,TS4,Step4.5.2_Continue3 Button,TS4,Step4.5_Continue3,TS4,Step4.6.1_Continue4 Button,TS4,Step4.6.2_Continue4 Button,TS4,Step4.6_Continue4,TS4,Step4.7.1_ConfirmOrder,TS4,Step4.7.2_ConfirmOrder,TS4,Step4.7_Confirm order
12:09:51.0,,,0.536,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12:09:54.0,,,,0.741,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12:09:55.0,,,,0.7725,0.46799999999999997,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12:09:56.0,,,,,,,,,,,,,,,,,,0.6506666666666666,,,,,,,,,,,,,,,,,,,,,,,,,,
12:09:58.0,,,,,,0.734,0.705,0.71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12:09:59.0,,,,,,,,,,,,,,,,0.22,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12:10:00.0,,,,,,,,,,,,,,,,,0.23,,,,,,,,,,,,,,,,,,,,,,,,,,,
12:10:01.0,,,,,,,,,,,,,,,,0.186,0.209,,,,,,,,,,,,,,,,,,,,,,,,,,,
12:10:02.0,,,,,,,,,,,,,,,,,,,0.74,,,,,,,,,,,,,,,,,,,,,,,,,
12:10:03.0,,,,,,,,,,,,,,,,,,,0.388,0.197,,,,,,,,,,,,,,,,,,,,,,,,
12:10:04.0,,,,,,,,,,,,,,,,,,,,0.173,0.668,,,,,,,,,,,,,,,,,,,,,,,
12:10:05.0,,,,,,,,,,,,,,,,,,,,,,0.391,0.244,,,,,,,,,,,,,,,,,,,,,
12:10:06.0,,,,,,,,,,,,,,,,0.337,0.218,,,,,,,,,,,,1.404,,,,,,,,,,,,,,,
12:10:08.0,,,,,,,,,,,,,,,,,,,0.876,,0.612,,,,,,,,,,,,,,,,,,,,,,,
